iter	Passed	Remaining
0	2	200
1	3	180
2	5	164
3	6	155
4	9	185
5	11	175
6	12	168
7	14	162
8	15	156
9	16	151
10	18	147
11	19	144
12	21	141
13	22	138
14	23	135
15	25	132
16	26	130
17	28	128
18	29	125
19	30	123
20	32	121
21	33	119
22	35	117
23	36	115
24	37	113
25	39	111
26	40	109
27	41	107
28	43	105
29	44	104
30	45	102
31	47	100
32	49	100
33	50	98
34	52	97
35	54	96
36	55	94
37	57	93
38	58	92
39	60	91
40	62	90
41	64	88
42	65	87
43	67	85
44	68	84
45	70	82
46	72	81
47	73	79
48	77	80
49	78	78
50	80	77
51	82	76
52	84	74
53	85	73
54	87	71
55	89	70
56	91	68
57	92	67
58	94	65
59	95	63
60	97	62
61	98	60
62	100	59
63	102	57
64	104	56
65	106	54
66	107	53
67	109	51
68	111	49
69	112	48
70	114	46
71	117	45
72	121	45
73	124	43
74	126	42
75	128	40
76	130	38
77	131	37
78	132	35
79	134	33
80	136	31
81	137	30
82	139	28
83	141	26
84	146	25
85	147	24
86	149	22
87	151	20
88	152	18
89	154	17
90	156	15
91	158	13
92	161	12
93	162	10
94	164	8
95	166	6
96	168	5
97	170	3
98	171	1
99	173	0
